Num  Name,Epoch,q,e,i,w,Node,Tp,Ref,
1P/Halley,49400,0.58597811,0.96714291,162.26269,111.33249,58.42008,19860205.9,JPL,J863/77
2P/Encke,57080,0.33599075,0.84832024,11.78149,186.54304,334.56827,20131121.75,JPL,K173/9
3D/Biela,-9480,0.879073,0.751299,13.2164,221.6588,250.669,18321126.62,IAU,CAT03
4P/Faye,57262,1.65187634,0.56961755,9.07029,205.12582,199.14398,20140529.87,JPL,K144/7
5D/Brorsen,7440,0.589847,0.809796,29.3821,14.9468,102.9676,18790331.03,IAU,CAT03
6P/d'Arrest,57200,1.36145455,0.61142192,19.48168,178.11523,138.93371,20150302.42,JPL,K155/3
7P/Pons-Winnecke,57380,1.23896144,0.63761701,22.33509,172.50006,93.4096,20150130.53,JPL,K088/17
8P/Tuttle,54374,1.02711659,0.81979975,54.98318,207.50925,270.34165,20080127.03,JPL,K074/27
9P/Tempel 1,57519,1.54255281,0.50964598,10.47375,179.20203,68.75014,20160802.58,JPL,K163/4
10P/Tempel 2,55641,1.42222342,0.53631868,12.02254,195.63536,117.80866,20100704.86,JPL,K153/4
11P/Tempel-Swift-LINEAR,54527,1.55357868,0.5449124,13.55352,163.89956,240.52474,20080504.66,JPL,K143/1
12P/Pons-Brooks,35000,0.77366709,0.95481239,74.17689,199.02847,255.89114,19540522.88,JPL,15
13P/Olbers,35760,1.17845061,0.93029715,44.60989,64.64121,86.10313,19560619.14,JPL,10
14P/Wolf,55353,2.72490235,0.35782552,27.94292,159.05507,202.11465,20090227.46,JPL,K174/4
15P/Finlay,56406,0.97465031,0.72046703,6.80366,347.56561,13.80064,20141226.93,JPL,K142/2
16P/Brooks 2,57164,1.46679247,0.56322341,4.26119,219.74884,159.28043,20140607.74,JPL,K074/9
17P/Holmes,55213,2.05337899,0.43287584,19.11426,24.35185,326.85322,20070505.03,JPL,K142/1
18D/Perrine-Mrkos,40240,1.27224808,0.64258098,17.75898,166.05042,240.87555,19681101.54,JPL,J682/18
19P/Borrelly,53126,1.35979974,0.62328927,30.31307,353.35069,75.43598,20010914.25,JPL,K157/5
20D/Westphal,20080,1.25401276,0.91983119,40.89006,57.08095,348.00645,19131126.79,JPL,19
21P/Giacobini-Zinner,56498,1.03069627,0.70681789,31.9081,172.58442,195.39701,20120211.63,JPL,K123/6
22P/Kopff,55518,1.5765991,0.54421289,4.72364,162.74226,120.88055,20090525.23,JPL,K153/3
23P/Brorsen-Metcalf,47800,0.47875271,0.97195226,19.33394,129.61068,311.58546,19890911.94,JPL,13
24P/Schaumasse,56623,1.20758411,0.70463407,11.73831,57.89823,79.73178,20171116.36,JPL,K173/3
25D/Neujmin 2,24960,1.33816965,0.5668186,10.63871,193.70403,328.71695,19270116.22,JPL,7
26P/Grigg-Skjellerup,56978,1.08524778,0.64027714,22.42889,2.14669,211.53755,20130706.06,JPL,K139/6
27P/Crommelin,56364,0.74828747,0.91898109,28.96687,196.0254,250.62641,20110803.89,JPL,K113/4
28P/Neujmin 1,51766,1.54901862,0.77590933,14.19753,346.95371,347.07592,20021227.17,JPL,24
29P/Schwassmann-Wachmann 1,55031,5.71760645,0.04512989,9.39436,48.41577,312.63449,20040704.14,JPL,K192/8
30P/Reinmuth 1,55905,1.88252266,0.5013023,8.12372,13.1614,119.73544,20100419.55,JPL,K172/1
31P/Schwassmann-Wachmann 2,54513,3.4215884,0.1921302,4.54745,18.27289,114.18935,20101001.49,JPL,K193/5
32P/Comas Sola,55353,2.00856519,0.55464858,9.96852,53.30659,57.8436,20141019.7,JPL,K142/1
33P/Daniel,55481,2.16672419,0.46235981,22.38614,18.9053,66.54084,20080720.41,JPL,K163/6
34D/Gale,29080,1.182907,0.760719,11.7281,209.1572,67.9235,19380618.48,SAO,/1938
35P/Herschel-Rigollet,29480,0.74849,0.97405,64.207,29.298,355.98,19390809.46,SAO,/1939
36P/Whipple,51910,3.08771054,0.25990278,9.93021,202.09528,182.4358,20030705.91,JPL,K118/6
37P/Forbes,56364,1.57822308,0.54058015,8.95531,329.64367,314.92802,20111211.14,JPL,K114/4
38P/Stephan-Oterma,46113,1.58974053,0.85935659,18.30133,359.46369,78.17571,19801203.02,JPL,12
39P/Oterma,52200,5.47114748,0.24551396,1.94283,56.27834,331.58112,20021221.02,JPL,14
40P/Vaisala 1,57262,1.81977116,0.6316152,11.49264,47.28886,133.84017,20141115.84,JPL,K148/7
41P/Tuttle-Giacobini-Kresak,57844,1.04504274,0.66125069,9.22913,62.15859,141.06629,20170412.75,JPL,K171/17
42P/Neujmin 3,57380,2.0277552,0.58417475,3.98459,147.12039,150.27997,20150408.21,JPL,K155/2
43P/Wolf-Harrington,56756,1.35709448,0.59490962,15.97248,191.55919,249.86634,20160819.42,JPL,K162/6
44P/Reinmuth 2,55468,2.10882371,0.42833373,5.9006,58.22014,286.58707,20080218.6,JPL,K153/2
45P/Honda-Mrkos-Pajdusakova,57798,0.53251299,0.82397288,4.24816,326.28199,88.98173,20161231.27,JPL,K161/11
46P/Wirtanen,56799,1.05226208,0.65920256,11.75714,356.34021,82.16439,20130709.37,JPL,K073/17
47P/Ashbrook-Jackson,57987,2.81824583,0.31715282,13.02992,357.66528,356.97438,20170610.16,JPL,K171/1
48P/Johnson,53508,2.30987713,0.36659435,13.65773,207.68633,117.32461,20041011.93,JPL,58
49P/Arend-Rigaux,55296,1.42021474,0.60088425,19.07821,332.88303,118.93787,20111019.08,JPL,K183/3
50P/Arend,55190,1.92216181,0.52981917,19.16231,49.01452,355.32477,20071101.46,JPL,K163/2
51P/Harrington,57300,1.69960225,0.54243704,5.42439,269.2756,83.70082,20150812.69,JPL,K153/2
51P/Harrington-A,51677,1.56809686,0.56206636,8.65496,233.58784,119.18778,20010605.69,JPL,8
51P/Harrington-D,57180,1.69937608,0.54248579,5.42456,269.37398,83.67224,20150811.69,JPL,1
52P/Harrington-Abell,56981,1.77310973,0.54038911,10.2316,139.59844,336.85164,20140307.5,JPL,K145/7
53P/Van Biesbroeck,55772,2.42607684,0.55109339,6.61135,134.26726,148.89732,20160430.78,JPL,K162/6
54P/de Vico-Swift-NEAT,55013,2.17176403,0.42704749,6.06716,1.93333,358.86003,20091128.57,JPL,22
55P/Tempel-Tuttle,51040,0.97642792,0.90555272,162.48658,172.50027,235.27099,19980228.1,JPL,J985/69
56P/Slaughter-Burnham,56245,2.50531518,0.5074747,8.14897,44.14922,346.08726,20160717.62,JPL,K164/7
57P/duToit-Neujmin-Delporte,57375,1.7287245,0.49928893,2.84833,115.21427,188.79943,20150522.26,JPL,21
57P/duToit-Neujmin-Delporte-A,52640,1.72939044,0.49904012,2.84481,115.23253,188.92568,20020731.15,JPL,K023/3
58P/Jackson-Neujmin,50160,1.38117347,0.66150673,13.47841,200.35826,160.71487,19951006.61,JPL,6
59P/Kearns-Kwee,54634,2.3555255,0.47484162,9.34114,127.5368,313.03812,20090307.67,JPL,K183/4
60P/Tsuchinshan 2,56080,1.61816405,0.5384297,3.6107,216.38217,267.68419,20120513.53,JPL,K124/3
61P/Shajn-Schaldach,56041,2.11051938,0.42669214,6.00776,221.82953,163.0891,20150930.97,JPL,K153/5
62P/Tsuchinshan 1,54484,1.47262825,0.58111978,10.53833,22.55926,96.70898,20041208.98,JPL,K174/3
63P/Wild 1,56717,1.95057715,0.65091903,19.77998,169.02952,358.00186,20130410.83,JPL,31
64P/Swift-Gehrels,55320,1.3771141,0.68973253,8.94991,96.32255,300.74137,20090614.39,JPL,21
65P/Gunn,55116,2.44044567,0.31942643,10.38668,196.62514,68.35317,20100302.09,JPL,K173/4
66P/du Toit,52920,1.27426678,0.78770149,18.70074,257.24972,22.21536,20030827.99,JPL,48
67P/Churyumov-Gerasimenko,55491,1.2452879,0.64058232,7.04368,12.69446,50.18005,20090228.53,JPL,K154/1
68P/Klemola,54801,1.75901873,0.64068701,11.14375,153.97951,175.33193,20090120.97,JPL,30
69P/Taylor,55960,2.27285933,0.41444967,22.04594,343.45,104.87872,20110717.56,JPL,K112/1
70P/Kojima,57262,2.00643528,0.45380775,6.6001,1.93792,119.26891,20141020.62,JPL,33
71P/Clark,57888,1.58621566,0.49438858,9.44533,208.9166,59.44628,20170630.2,JPL,K171/2
72P/Denning-Fujikawa,56981,0.78416121,0.81915453,9.16928,337.85804,36.1092,20140711.64,JPL,21
73P/Schwassmann-Wachmann 3,57800,0.97219187,0.68557387,11.23697,199.38683,69.66214,20170316.84,JPL,K171/4
73P/Schwassmann-Wachmann 3-B,53880,0.93911104,0.69328552,11.39695,198.79945,69.89248,20060607.92,JPL,K061/24
73P/Schwassmann-Wachmann 3-C,55980,0.94285663,0.6922258,11.37916,198.87059,69.84322,20111016.9,JPL,K114/1
73P/Schwassmann-Wachmann 3-E,51920,0.93743699,0.69387746,11.40562,198.77324,69.9171,20010128.45,JPL,K013/11
73P/Schwassmann-Wachmann 3-G,53839,0.93918393,0.69341297,11.38956,198.7746,69.9084,20060608.1,JPL,19
73P/Schwassmann-Wachmann 3-H,53839,0.93916951,0.69356581,11.39106,198.7738,69.90789,20060608.28,JPL,14
73P/Schwassmann-Wachmann 3-J,53815,0.9390202,0.69153882,11.38027,198.86944,69.82886,20060608.15,JPL,3
73P/Schwassmann-Wachmann 3-K,53839,0.93907684,0.69354349,11.39106,198.78964,69.89734,20060608.22,JPL,4
73P/Schwassmann-Wachmann 3-L,53839,0.93908939,0.69473567,11.39871,198.74759,69.93678,20060608.33,JPL,7
73P/Schwassmann-Wachmann 3-M,53839,0.93909681,0.69394094,11.39436,198.77756,69.9053,20060608.26,JPL,11
73P/Schwassmann-Wachmann 3-N,53839,0.93925436,0.69228899,11.38094,198.76435,69.8973,20060608.27,JPL,14
73P/Schwassmann-Wachmann 3-P,53839,0.93915914,0.6955759,11.40542,198.72414,69.9562,20060607.85,JPL,7
73P/Schwassmann-Wachmann 3-Q,53839,0.93971575,0.69864724,11.41936,198.49519,70.13789,20060607.68,JPL,3
73P/Schwassmann-Wachmann 3-R,53839,0.93913155,0.69408821,11.39473,198.7697,69.91309,20060608.18,JPL,15
73P/Schwassmann-Wachmann 3-S,53839,1.02236658,0.69335823,11.04818,181.56219,81.99162,20060608.76,JPL,2
73P/Schwassmann-Wachmann 3-T,53839,0.93931878,0.71193241,11.5123,198.18338,70.476,20060608.7,JPL,5
73P/Schwassmann-Wachmann 3-U,53839,0.93939033,0.68939746,11.35982,198.83539,69.83272,20060609.04,JPL,2
73P/Schwassmann-Wachmann 3-V,53839,0.91220674,0.69348697,11.65182,204.92948,65.24679,20060608.48,JPL,2
73P/Schwassmann-Wachmann 3-W,53839,0.93912503,0.69757325,11.41832,198.66081,70.01699,20060608.47,JPL,3
73P/Schwassmann-Wachmann 3-X,53839,0.9390827,0.69475129,11.39939,198.75098,69.92862,20060608.56,JPL,7
73P/Schwassmann-Wachmann 3-Y,53839,0.93916574,0.7195023,11.56184,197.97005,70.66914,20060608.59,JPL,3
73P/Schwassmann-Wachmann 3-Z,53839,0.94203915,0.69335823,11.34947,198.01615,70.49401,20060608.31,JPL,2
73P/Schwassmann-Wachmann 3-AA,53839,0.93928453,0.68063388,11.29506,199.10794,69.57272,20060609.17,JPL,3
73P/Schwassmann-Wachmann 3-AB,53856,0.93916633,0.69124681,11.37319,198.81697,69.85894,20060608.71,JPL,4
73P/Schwassmann-Wachmann 3-AC,53856,0.93904525,0.69536711,11.40528,198.75264,69.9338,20060608.68,JPL,5
73P/Schwassmann-Wachmann 3-AD,53839,0.94070736,0.69335823,11.36837,198.37132,70.21922,20060608.68,JPL,2
73P/Schwassmann-Wachmann 3-AE,53839,0.93905118,0.69672566,11.41469,198.70814,69.97232,20060608.33,JPL,5
73P/Schwassmann-Wachmann 3-AF,53839,0.94118491,0.67629902,11.23973,198.71639,69.84971,20060607.01,JPL,1
73P/Schwassmann-Wachmann 3-AG,53839,0.93903924,0.69578115,11.40759,198.70529,69.95897,20060609,JPL,4
73P/Schwassmann-Wachmann 3-AH,53839,0.94298661,0.69335823,11.33063,197.73963,70.70742,20060608.63,JPL,3
73P/Schwassmann-Wachmann 3-AI,53836,0.93888807,0.69825113,11.43065,198.72944,69.97109,20060608.7,JPL,4
73P/Schwassmann-Wachmann 3-AJ,53839,0.9360801,0.80019529,12.14932,196.76565,72.06227,20060608.01,JPL,2
73P/Schwassmann-Wachmann 3-AK,53839,0.93770521,0.69335823,11.4295,199.3257,69.37619,20060608.38,JPL,3
73P/Schwassmann-Wachmann 3-AL,53839,0.93876858,0.69984282,11.44393,198.72255,69.97977,20060608.41,JPL,2
73P/Schwassmann-Wachmann 3-AM,53839,0.93093716,0.69335823,11.5442,201.0886,68.11933,20060608.2,JPL,1
73P/Schwassmann-Wachmann 3-AN,53839,0.93899732,0.69475696,11.40514,198.8012,69.89156,20060608.32,JPL,4
73P/Schwassmann-Wachmann 3-AO,53839,0.94075016,0.69376877,11.32588,198.16719,70.3888,20060607.85,JPL,3
73P/Schwassmann-Wachmann 3-AP,53856,0.93874543,0.70143009,11.46591,198.74262,69.96698,20060606.61,JPL,8
73P/Schwassmann-Wachmann 3-AQ,53856,0.93900644,0.69591191,11.4137,198.77132,69.92073,20060607.9,JPL,9
73P/Schwassmann-Wachmann 3-AR,53839,0.93920476,0.69579901,11.40652,198.70985,69.9663,20060606.81,JPL,2
73P/Schwassmann-Wachmann 3-AS,53852,0.93882735,0.70097011,11.46097,198.72476,69.97402,20060606.26,JPL,6
73P/Schwassmann-Wachmann 3-AT,53839,0.93962879,0.68693223,11.33462,198.81041,69.84813,20060606.29,JPL,2
73P/Schwassmann-Wachmann 3-AU,53839,0.93929796,0.69282235,11.38221,198.75831,69.91455,20060608.1,JPL,1
73P/Schwassmann-Wachmann 3-AV,53839,0.93902429,0.69335823,11.39512,198.83355,69.88525,20060606.5,JPL,1
73P/Schwassmann-Wachmann 3-AW,53839,0.94025776,0.67730146,11.2396,198.83397,69.79453,20060607.91,JPL,2
73P/Schwassmann-Wachmann 3-AX,53839,0.93800954,0.69247013,11.42779,199.25127,69.46695,20060609.5,JPL,1
73P/Schwassmann-Wachmann 3-AY,53839,0.9401934,0.67508996,11.22587,198.92203,69.71152,20060608.9,JPL,2
73P/Schwassmann-Wachmann 3-AZ,53839,0.94031778,0.67506999,11.22071,198.86704,69.76426,20060606.7,JPL,1
73P/Schwassmann-Wachmann 3-BA,53839,0.94024779,0.68243292,11.27075,198.69202,69.921,20060606.54,JPL,1
73P/Schwassmann-Wachmann 3-BB,53839,0.94242057,0.68243292,11.19018,197.92857,70.47094,20060607.09,JPL,1
73P/Schwassmann-Wachmann 3-BC,53856,0.9388074,0.70046752,11.45871,198.74613,69.95555,20060606.61,JPL,7
73P/Schwassmann-Wachmann 3-BD,53839,0.94615558,0.68243921,10.97455,196.46313,71.41848,20060606.18,JPL,1
73P/Schwassmann-Wachmann 3-BE,53839,0.93942134,0.68243921,11.31655,199.00413,69.69354,20060606.98,JPL,1
73P/Schwassmann-Wachmann 3-BF,53856,0.93957429,0.6856739,11.32198,198.8098,69.83456,20060607.06,JPL,2
73P/Schwassmann-Wachmann 3-BG,53839,0.93934183,0.68475481,11.3245,198.95483,69.72079,20060608.81,JPL,1
73P/Schwassmann-Wachmann 3-BH,53839,0.93981625,0.68243921,11.28941,198.83807,69.80393,20060608.65,JPL,1
73P/Schwassmann-Wachmann 3-BI,53856,0.9397651,0.68246268,11.30046,198.9128,69.75259,20060608.73,JPL,3
73P/Schwassmann-Wachmann 3-BJ,53839,0.93925292,0.69109449,11.37023,198.79791,69.87876,20060608.69,JPL,2
73P/Schwassmann-Wachmann 3-BK,53839,0.93926664,0.69154281,11.37078,198.77539,69.89745,20060608.9,JPL,2
73P/Schwassmann-Wachmann 3-BL,53839,0.93909966,0.69622372,11.40936,198.69943,69.97336,20060608.86,JPL,2
73P/Schwassmann-Wachmann 3-BM,53839,0.93975686,0.68243921,11.29433,198.86135,69.77559,20060609.02,JPL,1
73P/Schwassmann-Wachmann 3-BN,53856,0.93918574,0.69177151,11.37745,198.79477,69.88153,20060608.21,JPL,3
73P/Schwassmann-Wachmann 3-BO,53856,0.93921907,0.69182756,11.37616,198.77155,69.89198,20060608.27,JPL,3
73P/Schwassmann-Wachmann 3-BP,53856,0.93978327,0.68245345,11.29077,198.84884,69.81061,20060608.39,JPL,1
73P/Schwassmann-Wachmann 3-BQ,53856,0.93915566,0.69245388,11.38826,198.81985,69.86578,20060608.3,JPL,2
73P/Schwassmann-Wachmann 3-BR,53856,0.93960179,0.68515413,11.31925,198.84129,69.82671,20060606.24,JPL,2
73P/Schwassmann-Wachmann 3-BS,53856,0.93894867,0.69857355,11.44446,198.76852,69.94,20060605.78,JPL,1
73P/Schwassmann-Wachmann 3-BT,57821,0.97197463,0.68561669,11.23831,199.34965,69.65679,20170316.82,JPL,7
74P/Smirnova-Chernykh,55426,3.55702205,0.14726657,6.64836,87.07206,77.08348,20090729.12,JPL,K183/8
75D/Kohoutek,49520,1.78465694,0.4963074,5.90721,175.80172,269.68609,19940629.9,JPL,J873/16
76P/West-Kohoutek-Ikemura,57164,1.60192278,0.53851411,30.47861,0.07726,84.12945,20130507.59,JPL,20
77P/Longmore,55370,2.31091605,0.35791786,24.39914,196.74056,14.9135,20090707.95,JPL,29
78P/Gehrels 2,56771,2.01028234,0.46190286,6.25385,192.75444,210.56121,20120112.43,JPL,K114/8
79P/du Toit-Hartley,56558,1.12380532,0.61851349,3.14562,281.68932,280.64034,20130823.29,JPL,16
80P/Peters-Hartley,56908,1.61272474,0.59899024,29.92276,339.13111,259.8893,20141110.04,JPL,17
81P/Wild 2,55804,1.59797245,0.53707199,3.23724,41.7567,136.09769,20100222.56,JPL,K162/7
82P/Gehrels 3,55600,3.63331471,0.1228436,1.12591,226.35104,239.46173,20100112.38,JPL,15
83D/Russell 1,46240,1.61154163,0.51720991,22.65946,0.37623,230.84201,19850705.23,JPL,7
84P/Giclas,54655,1.8497786,0.49270789,7.28151,276.26151,112.47207,20060807.51,JPL,39
85P/Boethin,54252,1.13465745,0.78116063,4.29529,37.61838,359.39611,20081212.75,JPL,23
86P/Wild 3,57375,2.2634517,0.37208881,15.47024,179.13972,72.40591,20150403.32,JPL,14
87P/Bus,53129,2.17632863,0.37606504,2.57661,24.10118,182.18988,20070707.02,JPL,K134/1
88P/Howell,56316,1.36181094,0.56210874,4.38265,235.83977,56.74357,20150406.85,JPL,K152/2
89P/Russell 2,57560,2.22056191,0.40800838,12.07654,250.14144,41.44521,20161214.67,JPL,21
90P/Gehrels 1,57800,2.97490485,0.50978729,9.63544,29.26948,13.25205,20170619.27,JPL,K172/8
91P/Russell 3,53380,2.60189053,0.33126533,14.08752,354.69395,247.91027,20050626.82,JPL,31
92P/Sanguin,57375,1.82545566,0.65932548,19.44461,163.78903,181.45892,20150301.18,JPL,28
93P/Lovas 1,57800,1.70015004,0.61266533,12.2045,74.89812,339.62742,20170301.45,JPL,57
94P/Russell 4,55348,2.24026236,0.36310727,6.18234,92.83965,70.91412,20100329.73,JPL,43
96P/Machholz 1,54757,0.12367535,0.95922156,58.58806,14.74155,94.35987,20070405.69,JPL,K173/2
97P/Metcalf-Brewington,57164,2.60402161,0.45739327,17.86957,228.2913,185.19746,20110819.68,JPL,K113/8
98P/Takamizawa,56717,1.67338397,0.56059778,10.54421,157.87424,114.74172,20130805.36,JPL,15
99P/Kowal 1,55380,4.74344256,0.22877169,4.33254,174.61533,28.20834,20070128.81,JPL,K072/22
100P/Hartley 1,57600,2.01058337,0.41341002,25.58952,181.86616,37.72521,20160402.03,JPL,20
101P/Chernykh,53376,2.350164,0.59374824,5.07966,263.19066,130.27632,20051225.4,JPL,K052/12
101P/Chernykh-B,53733,2.35052705,0.59472034,5.07833,263.18516,130.23378,20051224.39,JPL,5
102P/Shoemaker 1,56717,1.96855931,0.47295106,26.24763,18.80154,339.85621,20130901.28,JPL,K133/4
103P/Hartley 2,55480,1.05867946,0.69512663,13.61826,181.20096,219.75987,20101028.26,JPL,K173/2
104P/Kowal 2,57600,1.17912244,0.63866959,10.25427,200.67395,235.42076,20160328.15,JPL,K163/6
105P/Singer Brewster,56364,2.05052033,0.40908017,9.17089,46.6353,192.41256,20120226.05,JPL,36
106P/Schuster,57164,1.54569806,0.58869706,20.14848,355.95846,50.49923,20140720.2,JPL,20
108P/Ciffreo,57164,1.70889425,0.54338627,13.09616,358.10766,53.65521,20141018.47,JPL,26
109P/Swift-Tuttle,50000,0.95951616,0.96322576,113.45382,152.98217,139.38119,19921212,JPL,32
110P/Hartley 3,55812,2.48099115,0.31348058,11.68733,167.59583,287.70604,20141218.02,JPL,K142/2
111P/Helin-Roman-Crockett,56320,3.70430339,0.10962077,4.22881,3.37794,89.794,20130130.63,JPL,8
112P/Urata-Niijima,53605,1.46452174,0.58636914,24.16789,21.46705,31.92839,20061029.63,JPL,25
113P/Spitaler,57164,2.11885225,0.42447785,5.77608,50.02142,14.38691,20150423.76,JPL,34
114P/Wiseman-Skiff,53297,1.57616118,0.55530893,18.27142,172.93091,271.06302,20060913.16,JPL,41
115P/Maury,55270,2.03512974,0.52146084,11.70565,120.02197,176.60491,20111006.75,JPL,17
116P/Wild 4,57435,2.18709938,0.37238776,3.60791,173.31482,20.99244,20160111.54,JPL,K161/1
117P/Helin-Roman-Alu 1,55168,3.04426994,0.25515086,8.70169,223.02267,58.93012,20051220.85,JPL,K143/16
118P/Shoemaker-Levy 4,55636,1.98355198,0.42769283,8.5086,302.14554,151.80291,20100102.36,JPL,K162/7
119P/Parker-Hartley,55072,3.0386936,0.29063922,5.19103,181.09947,244.0747,20050522.75,JPL,49
120P/Mueller 1,56717,2.72755908,0.34081323,8.79594,30.28447,4.27304,20130222.67,JPL,18
121P/Shoemaker-Holt 2,57164,3.75230113,0.18375851,20.15163,11.75664,94.16887,20130902.42,JPL,40
122P/de Vico,50280,0.65933734,0.96270889,85.38275,12.99609,79.6245,19951006,JPL,27
123P/West-Hartley,54435,2.1317153,0.4473636,15.35018,102.83008,46.6116,20110705.62,JPL,K193/3
124P/Mrkos,55778,1.63489749,0.50597554,31.7242,183.74412,0.64767,20140409.01,JPL,38
125P/Spacewatch,56717,1.52501167,0.51232272,9.98721,87.19443,153.18839,20130216.95,JPL,24
126P/IRAS,56364,1.71781337,0.6957725,45.80272,356.7749,357.79932,20100222.14,JPL,17
127P/Holt-Olmstead,55168,2.19572304,0.36234556,14.32165,6.54006,13.68456,20091021.36,JPL,K162/1
128P/Shoemaker-Holt 1,56597,3.05456758,0.32202148,4.3635,210.48059,214.34907,20170110.03,JPL,K172/5
128P/Shoemaker-Holt 1-A,57600,3.03462089,0.33412446,4.35389,210.56679,214.4009,20170506.7,JPL,11
128P/Shoemaker-Holt 1-B,50726,3.0470351,0.32125851,4.36172,210.21693,214.52758,19971120.29,JPL,33
129P/Shoemaker-Levy 3,54701,2.75678075,0.26789559,5.42763,189.23472,301.01782,20050731.08,JPL,K142/2
130P/McNaught-Hughes,55204,2.09889961,0.40689039,7.30604,224.27072,89.82735,20110624.55,JPL,41
131P/Mueller 2,56498,2.4163702,0.34322458,7.3551,179.27632,214.19809,20120106.43,JPL,33
132P/Helin-Roman-Alu 2,56981,1.90790762,0.532309,5.7774,221.15882,178.35995,20140521.74,JPL,27
134P/Kowal-Vavrova,57375,2.57135534,0.58786859,4.34883,18.62908,202.09793,20140521.64,JPL,19
135P/Shoemaker-Levy 8,51360,2.72110392,0.28956774,6.05011,22.60841,213.31757,19991210.59,JPL,11
136P/Mueller 3,55524,2.9637437,0.29342945,9.42542,225.11961,137.55349,20071023.45,JPL,29
137P/Shoemaker-Levy 2,54765,1.91521477,0.57502514,4.85385,140.77078,233.1509,20090513.52,JPL,28
138P/Shoemaker-Levy 7,56364,1.70034212,0.53052723,10.08559,95.59378,309.39786,20120611.65,JPL,18
139P/Vaisala-Oterma,57800,3.41411416,0.24633239,2.33248,166.10863,242.2162,20171211.1,JPL,K172/5
140P/Bowell-Skiff,51320,1.97187717,0.69176166,3.83583,173.08677,343.45646,19990514.81,JPL,25
141P/Machholz 2,55754,0.75794914,0.74897979,12.80472,149.40819,246.0647,20100524.57,JPL,11
141P/Machholz 2-A,53480,0.75284988,0.75012396,12.79506,149.28443,246.16159,20050228.25,JPL,75
141P/Machholz 2-D,51520,0.74900569,0.75106241,12.81184,149.29181,246.13363,19991209.96,JPL,11
142P/Ge-Wang,56498,2.48851637,0.49823878,12.30684,175.55073,176.51698,20100529.01,JPL,16
143P/Kowal-Mrkos,55202,2.53826688,0.40960346,4.69024,320.76429,245.36697,20090612.2,JPL,61
144P/Kushida,54937,1.43898888,0.62781793,4.10912,216.09503,245.55923,20090126.86,JPL,19
145P/Shoemaker-Levy 5,56606,1.89815187,0.54165376,11.27955,10.38451,26.87933,20170830.78,JPL,25
146P/Shoemaker-LINEAR,56472,1.42576921,0.64672666,23.09409,317.06895,53.44724,20160629.57,JPL,K163/2
147P/Kushida-Muramatsu,54801,2.75623414,0.27602521,2.36796,346.84083,93.76207,20080922.87,JPL,K083/2
148P/Anderson-LINEAR,57164,1.6919807,0.53946471,3.68204,6.70097,89.78028,20150613.78,JPL,19
149P/Mueller 4,55380,2.65089964,0.38836069,29.73448,43.759,145.26434,20100219.17,JPL,9
150P/LONEOS,54889,1.76769047,0.54581428,18.50017,245.67038,272.42794,20081126,JPL,38
151P/Helin,55165,2.49596136,0.57037336,4.73551,215.49154,143.56402,20151007.22,JPL,33
152P/Helin-Lawrence,56978,3.11341875,0.30715871,9.86805,163.60386,91.90172,20120708.4,JPL,54
153P/Ikeya-Zhang,52560,0.50714132,0.99009752,28.11988,34.67317,93.37027,20020318.98,JPL,73
154P/Brewington,56216,1.6080664,0.67070844,17.82972,48.98875,343.50322,20131212.4,JPL,K132/1
155P/Shoemaker 3,52800,1.81334212,0.72667267,6.38589,14.91091,97.2645,20021214.83,JPL,31
156P/Russell-LINEAR,54404,1.59309138,0.55768163,20.74729,357.6779,39.04816,20070617.36,JPL,23
157P/Tritton,55008,1.36058152,0.60120741,7.27825,148.69808,300.11696,20100220.49,JPL,K163/1
158P/Kowal-LINEAR,55007,4.58175916,0.02919686,7.90841,231.57686,137.30985,20120916.14,JPL,116
159P/LONEOS,54291,3.64969797,0.37952456,23.42436,4.86684,55.14453,20040301.68,JPL,32
160P/LINEAR,55155,2.07050396,0.47893467,17.27846,17.99528,337.03872,20120918.26,JPL,41
161P/Hartley-IRAS,52749,1.27343339,0.83507385,95.69807,47.13845,1.41567,20050620.86,JPL,59
162P/Siding Spring,54175,1.23126958,0.59627718,27.83321,356.39341,31.26004,20041109.56,JPL,108
163P/NEAT,56364,2.05709471,0.45322923,12.71792,349.66868,102.11568,20120412.81,JPL,33
164P/Christensen,55967,1.67554097,0.54128622,16.26104,325.86335,88.32582,20110602.36,JPL,K182/1
165P/LINEAR,52114,6.83037079,0.62158376,15.90527,126.20535,0.63871,20000615.79,JPL,49
166P/NEAT,52819,8.56430338,0.38310146,15.36841,321.87889,64.48885,20020520.84,JPL,50
167P/CINEOS,53075,11.7835476,0.26995518,19.12721,343.64951,295.83744,20010409.96,JPL,20
168P/Hergenrother,56364,1.41484261,0.6095589,21.92792,13.95118,356.45664,20121001.96,JPL,54
169P/NEAT,54327,0.60703539,0.76690789,11.30389,217.97667,176.21853,20050917.48,JPL,121
170P/Christensen,57164,2.92065371,0.30430314,10.12779,225.81729,142.91992,20140917.91,JPL,19
171P/Spahr,56364,1.76497751,0.50311306,21.94963,347.1064,101.71691,20120430.55,JPL,39
172P/Yeung,54757,2.24046464,0.36181165,11.51796,178.99781,40.08821,20081012.83,JPL,59
173P/Mueller 5,53954,4.21364134,0.26166683,16.49335,29.88793,100.57488,20080518.84,JPL,77
